sampled_at,trade_date,close,open,high,low,volume
2026-08-07T15:04:04.081321+09:00,2026-08-07,6249.6298828125,6365.06982421875,6415.60009765625,6158.72998046875,266496
2026-08-07T16:49:28.695274+09:00,2026-08-07,6258.77001953125,6365.06982421875,6415.60009765625,6158.72998046875,297183
2026-08-10T16:25:04.525690+09:00,2026-08-10,6299.66015625,6306.330078125,6394.06005859375,6232.4501953125,290917
2026-08-12T15:35:05.474399+09:00,2026-08-12,6590.3701171875,6438.5,6668.43017578125,6413.5,340454
2026-08-12T15:45:04.563972+09:00,2026-08-12,6577.240234375,6438.5,6668.43017578125,6413.5,346275
2026-08-12T15:55:04.182243+09:00,2026-08-12,6579.0400390625,6438.5,6668.43017578125,6413.5,355099
2026-08-12T16:05:06.874715+09:00,2026-08-12,6579.0400390625,6438.5,6668.43017578125,6413.5,355099
2026-08-12T16:15:03.754606+09:00,2026-08-12,6579.0400390625,6438.5,6668.43017578125,6413.5,355099
2026-08-12T16:25:04.153061+09:00,2026-08-12,6579.0400390625,6438.5,6668.43017578125,6413.5,355099
2026-08-12T19:05:30.451784+09:00,2026-08-12,6579.0400390625,6438.5,6668.43017578125,6413.5,360651
